Supplier Name,Brand,Product name,MPN,Supplier Cost,Supplier stock
Tier one,Samsung,Samsung SSD Portable T7 1TB Gray Retail,MU-PC1T0T/WW,"$82,14",100+
Tier one,Samsung,Samsung SSD Portable T7 2TB Blue Retail,MU-PC2T0H/WW,"$128,76",100+
Tier one,Samsung,Samsung SSD Portable T7 2TB Gray Retail,MU-PC2T0T/WW,"$128,76",100+
Tier one,Samsung,Samsung SSD Portable T7 4TB Gray Retail,MU-PC4T0T/WW,"$250,86",81
Tier one,Samsung,Samsung SSD Portable T7 Shield 1TB Beige Retail,MU-PE1T0K/EU,"$96,57",74
Tier one,Samsung,Samsung SSD Portable T7 Shield 1TB Black Retail,MU-PE1T0S/EU,"$94,35",100+
Tier one,Samsung,Samsung SSD Portable T7 Shield 1TB Blue Retail,MU-PE1T0R/EU,"$95,46",23-05-2025
Tier one,Samsung,Samsung SSD Portable T7 Shield 2TB Beige Retail,MU-PE2T0K/EU,"$154,29",73
Tier one,Samsung,Samsung SSD Portable T7 Shield 2TB Black Retail,MU-PE2T0S/EU,"$153,18",100+
Tier one,Samsung,Samsung SSD Portable T7 Shield 2TB Blue Retail,MU-PE2T0R/EU,"$158,73",19
Tier one,Samsung,Samsung SSD Portable T7 Shield 4TB Black Retail,MU-PE4T0S/EU,"$271,95",100+
Tier one,Samsung,Samsung SSD T5 Evo MU-PH2T0S 2TB,MU-PH2T0S/EU,"$102,12",100+
Tier one,Samsung,Samsung SSD T5 Evo MU-PH4T0S 4TB (N),MU-PH4T0S/WW,"$185,37",1
Tier one,Samsung,Samsung SSD T5 Evo MU-PH8T0S 8TB,MU-PH8T0S/EU,"$444,00",80
Tier one,Samsung,Samsung SSD T9 MU-PG1T0B 1TB,MU-PG1T0B/EU,"$106,56",100+
Tier one,Samsung,Samsung SSD T9 MU-PG2T0B 2TB,MU-PG2T0B/EU,"$184,26",100+
Tier one,Samsung,Samsung SSD T9 MU-PG4T0B 4TB,MU-PG4T0B/EU,"$303,03",67
Tier one,SanDisk,SanDisk Extreme microSD 128GB + SD-adapt.,SDSQXAA-128G-GN6MA,"$11,88",20
Tier one,SanDisk,SanDisk Extreme microSD 32GB + SD-adapt.,SDSQXAF-032G-GN6MA,"$6,55",53
Tier one,SanDisk,SanDisk Extreme microSD 512GB + SD-adapt.,SDSQXAV-512G-GN6MA,"$43,57",10
Tier one,SanDisk,SanDisk Extreme microSD 64GB + SD-adapt.,SDSQXAH-064G-GN6MA,"$7,33",90
Tier one,SanDisk,SanDisk Extreme Portable 1TB,SDSSDE61-1T00-G25,"$90,47",100+
Tier one,SanDisk,SanDisk Extreme Portable 2TB,SDSSDE61-2T00-G25,"$133,20",54
Tier one,SanDisk,SanDisk Extreme Portable 4TB,SDSSDE61-4T00-G25,"$249,75",100+
Tier one,SanDisk,SanDisk Extreme Portable 500GB,SDSSDE61-500G-G25,"$74,37",29
Tier one,SanDisk,SanDisk Extreme Portable 8TB,SDSSDE61-8T00-G25,"$510,60",12
Tier one,SanDisk,SanDisk Extreme Pro microSD 128GB + SD-adapt.,SDSQXCD-128G-GN6MA,"$14,71",49
Tier one,SanDisk,SanDisk Extreme Pro microSD 1TB + SD-adapt.,SDSQXCD-1T00-GN6MA,"$102,12",4
Tier one,SanDisk,SanDisk Extreme Pro microSD 256GB + SD-adapt.,SDSQXCD-256G-GN6MA,"$25,09",40
Tier one,SanDisk,SanDisk Extreme Pro microSD 32GB + SD-adapt.,SDSQXCG-032G-GN6MA,"$7,77",25
Tier one,SanDisk,SanDisk Extreme Pro microSD 512GB + SD-adapt.,SDSQXCD-512G-GN6MA,"$50,23",10
Tier one,SanDisk,SanDisk Extreme Pro microSD 64GB + SD-adapt.,SDSQXCU-064G-GN6MA,"$8,38",20
Tier one,SanDisk,SanDisk Extreme PRO Portable 1TB,SDSSDE81-1T00-G25,"$116,55",16-05-2025
Tier one,SanDisk,SanDisk Extreme PRO Portable 2TB,SDSSDE81-2T00-G25,"$185,37",100+
Tier one,SanDisk,SanDisk Extreme PRO Portable 4TB,SDSSDE81-4T00-G25,"$296,37",96
Tier one,SanDisk,SanDisk Portable 1TB,SDSSDE30-1T00-G26,"$69,38",30
Tier one,SanDisk,SanDisk Portable 2TB,SDSSDE30-2T00-G26,"$104,62",100+
Tier one,SanDisk,SanDisk Ultra 128GB USB 3.0 flashdrive,SDCZ48-128G-U46,"$8,99",100
Tier one,SanDisk,SanDisk Ultra 256GB USB 3.0 flashdrive,SDCZ48-256G-U46,"$16,54",30
Tier one,SanDisk,SanDisk Ultra 32GB USB 3.0 flashdrive,SDCZ48-032G-U46,"$4,54",100+
Tier one,SanDisk,SanDisk Ultra 512GB USB 3.0 flashdrive,SDCZ48-512G-G46,"$33,86",3
Tier one,SanDisk,SanDisk Ultra 64GB USB 3.0 flashdrive,SDCZ48-064G-U46,"$5,33",100
Tier one,SanDisk,SanDisk Ultra microSD 128GB + SD-adapt.,SDSQUAB-128G-GN6MA,"$9,49",77
Tier one,SanDisk,SanDisk Ultra microSD 1TB + SD-adapt.,SDSQUAC-1T00-GN6MA,"$75,76",25
Tier one,SanDisk,SanDisk Ultra microSD 256GB + SD-adapt.,SDSQUAC-256G-GN6MA,"$16,26",51
Tier one,SanDisk,SanDisk Ultra microSD 512GB + SD-adapt.,SDSQUAC-512G-GN6MA,"$31,08",64
Tier one,SanDisk,SanDisk Ultra microSD 512GB + SD-adapt.,SDSQUAC-512G-GN6MA,"$31,08",64
Tier one,SanDisk,SanDisk Ultra microSD 64GB + SD-adapt.,SDSQUAB-064G-GN6MA,"$5,61",100+
Tier one,Seagate,Seagate 2.5 BarraCuda 2TB (N),ST2000LM015,"$66,27",100+
Tier one,Seagate,Seagate 2.5 Basic 1TB,STJL1000400,"$45,73",12
Tier one,Seagate,Seagate 2.5 Basic 2TB,STJL2000400,"$60,61",100+
Tier one,Seagate,Seagate 2.5 Basic 4TB,STJL4000400,"$91,24",100+
Tier one,Seagate,Seagate 2.5 Basic 5TB,STJL5000400,"$106,01",100+
Tier one,Seagate,Seagate 2.5 Expansion Portable 1TB,STKM1000400,"$45,73",100+
Tier one,Seagate,Seagate 2.5 Expansion Portable 2TB,STKM2000400,"$60,83",100+
Tier one,Seagate,Seagate 2.5 Expansion Portable 4TB,STKM4000400,"$91,02",100+
Tier one,Seagate,Seagate 2.5 Expansion Portable 4TB,STKM4000400,"$91,02",100+
Tier one,Seagate,Seagate 2.5 Expansion Portable 5TB,STKM5000400,"$108,23",100+
Tier one,Seagate,Seagate 3.5 Expansion Desktop 10TB,STKP10000400,"$180,93",67
Tier one,Seagate,Seagate 3.5 Expansion Desktop 12TB,STKP12000400,"$229,77",14
Tier one,Seagate,Seagate 3.5 Expansion Desktop 14TB,STKP14000400,"$229,77",100+
Tier one,Seagate,Seagate 3.5 Expansion Desktop 16TB,STKP16000400,"$251,97",59
Tier one,Seagate,Seagate 3.5 Expansion Desktop 22TB,STKP22000400,"$335,22",15
Tier one,Seagate,Seagate 3.5 Expansion Desktop 24TB,STKP24000400,"$357,42",13
Tier one,Seagate,Seagate 3.5 Expansion Desktop 4TB,STKP4000400,"$94,13",85
Tier one,Seagate,Seagate 3.5 Expansion Desktop 6TB,STKP6000400,"$109,89",100+
Tier one,Seagate,Seagate 3.5 Expansion Desktop 6TB,STKP6000400,"$109,89",100+
Tier one,Seagate,Seagate 3.5 Expansion Desktop 8TB,STKP8000400,"$135,42",98
Tier one,Seagate,Seagate BarraCuda 16TB SATA-3 (N),ST16000DM001,"$226,44",23-05-2025
Tier one,Seagate,Seagate BarraCuda 20TB SATA-3 (N),ST20000DM001,"$264,18",23-05-2025
Tier one,Seagate,Seagate BarraCuda 24TB SATA-3 (N),ST24000DM001,"$287,49",23-05-2025
Tier one,Seagate,Seagate BarraCuda 4TB SATA-3 (N),ST4000DM004,"$73,82",23-05-2025
Tier one,Seagate,Seagate BarraCuda 8TB SATA-3 (N),ST8000DM004,"$121,88",100+
Tier one,Seagate,Seagate Exos 7E10 10TB NAS (N),ST10000NM017B,"$195,92",10
Tier one,Seagate,Seagate Exos X18 14TB NAS SATA-3 (N),ST14000NM000J,"$245,31",1
Tier one,Seagate,Seagate Exos X18 16TB NAS (N),ST16000NM000J,"$256,41",31-05-2025
Tier one,Seagate,Seagate Exos X18 18TB NAS (N),ST18000NM000J,"$313,02",14
Tier one,Seagate,Seagate Exos X20 20Tb NAS (N),ST20000NM007D,"$337,44",40
Tier one,Seagate,Seagate IronWolf 12TB NAS SATA-3 (N),ST12000VN0008,"$234,77",100+
Tier one,Seagate,Seagate IronWolf 4TB NAS SATA-3 (N),ST4000VN006,"$97,13",100+
Tier one,Seagate,Seagate IronWolf 8TB NAS SATA-3 (N),ST8000VN004,"$165,39",100+
Tier one,Seagate,Seagate Ironwolf Pro 12TB NAS SATA-3 (N),ST12000NT001,"$251,97",100+
Tier one,Seagate,Seagate IronWolf Pro 20TB NAS SATA-3 (N),ST20000NT001,"$370,74",59
Tier one,Seagate,Seagate IronWolf Pro 24TB NAS Sata 3 (N),ST24000NT002,"$476,19",13
Tier one,Seagate,Seagate IronWolf Pro 4TB NAS SATA-3 (N),ST4000NT001,"$115,44",1
Tier one,Seagate,Seagate IronWolf Pro 8TB NAS SATA-3 (N),ST8000NT001,"$182,60",20
Tier one,Seagate,Seagate One Touch Hub 10TB,STLC10000400,"$192,03",25
Tier one,Seagate,Seagate One Touch Hub 14TB,STLC14000400,"$259,74",16
Tier one,Seagate,Seagate One Touch Hub 16TB,STLC16000400,"$289,71",14
Tier one,Seagate,Seagate One Touch Hub 20TB,STLC20000400,"$335,22",28
Tier one,Seagate,Seagate One Touch Hub 6TB,STLC6000400,"$124,32",10
Tier one,Seagate,Seagate Skyhawk 10TB AI SATA-3 (N),ST10000VE001,"$219,23",76
Tier one,Seagate,Seagate Skyhawk 20TB AI SATA-3 (N),ST20000VE003,"$0,00",23-05-2025
Tier one,Seagate,Seagate Skyhawk 4TB Surveillance SATA-3,ST4000VX016,"$79,70",95
Tier one,Seagate,Seagate Skyhawk 6TB Surveillance SATA-3 (N),ST6000VX009,"$120,44",1
Tier one,Seagate,Seagate Skyhawk 8TB Surveillance SATA-3 (N),ST8000VX010,"$160,40",74
Tier one,Toshiba,Toshiba 2.5 Canvio Basics 1TB Black,HDTB510EK3AA,"$45,84",100+
Tier one,Toshiba,Toshiba 2.5 Canvio Basics 2TB Black,HDTB520EK3AA,"$60,83",100+
Tier one,Toshiba,Toshiba 2.5 Canvio Basics 4TB Black,HDTB540EK3CA,"$93,80",100+
Tier one,Toshiba,Toshiba MG09 Series 18TB SATA MG09ACA18TE,MG09ACA18TE,"$285,27",3
Tier one,Toshiba,Toshiba MG10 Series 22TB SATA MG10AFA22TE,MG10AFA22TE,"$341,88",10
Tier one,Toshiba,Toshiba P300 2TB SATA-3,HDWD320UZSVA,"$0,00",1
Tier one,Transcend,Transcend SSD MTE115S 2TB M.2 NMVe,TS2TMTE115S,"$94,35",1
Tier one,Transcend,Transcend SSD MTE115S 500GB M.2 NMVe,TS500GMTE115S,"$32,75",100+
Tier one,Transcend,Transcend SSD MTE115S 500GB M.2 NMVe,TS500GMTE115S,"$32,75",100+
Tier one,WD,WD 2.5 Elements Portable 1TB USB3.0,WDBUZG0010BBK-WESN,"$50,17",100+
Tier one,WD,WD 2.5 Elements Portable 2TB USB3.0,WDBU6Y0020BBK-WESN,"$61,27",100+
Tier one,WD,WD 2.5 Elements Portable 4TB USB3.0,WDBU6Y0040BBK-WESN,"$97,24",100+
Tier one,WD,WD 2.5 Elements Portable 5TB USB3.0,WDBU6Y0050BBK-WESN,"$108,45",100+
Tier one,WD,WD 2.5 Elements Portable 6TB USB3.0,WDBHJS0060BBK-WESN,"$136,20",46
Tier one,WD,WD 2.5 My Passport 1TB Black,WDBYVG0010BBK-WESN,"$52,73",19-05-2025
Tier one,WD,WD 2.5 My Passport 2TB Black,WDBYVG0020BBK-WESN,"$64,16",19-05-2025
Tier one,WD,WD 2.5 My Passport 2TB Blue,WDBYVG0020BBL-WESN,"$64,16",19-05-2025
Tier one,WD,WD 2.5 My Passport 2TB Red,WDBYVG0020BRD-WESN,"$64,16",19-05-2025
Tier one,WD,WD 2.5 My Passport 4TB Black,WDBPKJ0040BBK-WESN,"$99,35",22
Tier one,WD,WD 2.5 My Passport 4TB Blue,WDBPKJ0040BBL-WESN,"$99,35",19-05-2025
Tier one,WD,WD 2.5 My Passport 4TB Red,WDBPKJ0040BRD-WESN,"$99,35",16
Tier one,WD,WD 2.5 My Passport 5TB Black,WDBPKJ0050BBK-WESN,"$113,22",70
Tier one,WD,WD 2.5 My Passport 6TB Black,WDBR9S0060BBK-WESN,"$144,63",9
Tier one,WD,WD 2.5 My Passport 6TB Blue,WDBR9S0060BBL-WESN,"$144,63",2
Tier one,WD,WD 2.5 My Passport 6TB Red,WDBR9S0060BRD-WESN,"$144,63",2
Tier one,WD,WD Black 4TB 7200RPM SATA-3 256MB Gaming,WD4006FZBX,"$197,58",16
Tier one,WD,WD Blue 500GB 7200RPM SATA-3 32MB,WD5000AZLX,"$47,18",20
Tier one,WD,WD Blue 6TB 5400RPM SATA-3 256MB,WD60EZAX,"$143,19",8
Tier one,WD,WD Elements 10TB Ext HDD USB3.0,WDBWLG0100HBK-EESN,"$204,80",19-05-2025
Tier one,WD,WD Elements 12TB Ext HDD USB3.0,WDBWLG0120HBK-EESN,"$233,66",19-05-2025
Tier one,WD,WD Elements 16TB Ext HDD USB3.0,WDBWLG0160HBK-EESN,"$294,15",19-05-2025
Tier one,WD,WD Elements 18TB Ext HDD USB3.0,WDBWLG0180HBK-EESN,"$323,57",19-05-2025
Tier one,WD,WD Elements 20TB Ext HDD USB3.0,WDBWLG0200HBK-EESN,"$358,53",19-05-2025
Tier one,WD,WD Elements 22TB Ext HDD USB3.0,WDBWLG0220HBK-EESN,"$402,93",19-05-2025
Tier one,WD,WD Elements 6TB Ext HDD USB3.0,WDBWLG0060HBK-EESN,"$133,20",19-05-2025
Tier one,WD,WD Elements 8TB Ext HDD USB3.0,WDBWLG0080HBK-EESN,"$160,06",19-05-2025
Tier one,WD,WD My Book 12TB USB 3.0,WDBBGB0120HBK-EESN,"$239,21",19-05-2025
Tier one,WD,WD My Book 14TB USB 3.0,WDBBGB0140HBK-EESN,"$267,51",19-05-2025
Tier one,WD,WD My Book 6TB USB 3.0,WDBBGB0060HBK-EESN,"$144,30",19-05-2025
Tier one,WD,WD My Book 8TB USB 3.0,WDBBGB0080HBK-EESN,"$166,83",19-05-2025
Tier one,WD,WD Purple 1TB 5400RPM SATA-3 64MB Surveillance,WD11PURZ,"$51,62",1
Tier one,WD,WD Purple 8TB 5400RPM SATA-3 256MB Surveillance,WD85PURZ,"$162,06",91
Tier one,WD,WD Purple 8TB 5400RPM SATA-3 256MB Surveillance,WD85PURZ,"$162,06",91
Tier one,WD,WD Red Pro 10TB 7200RPM SATA-3 512MB NAS,WD103KFBX,"$255,86",5
Tier one,WD,WD Red Pro 12TB 7200RPM SATA-3 512MB NAS,WD122KFBX,"$300,81",17
Tier one,WD,WD Red Pro 14TB 7200RPM SATA-3 512MB NAS,WD142KFGX,"$339,66",18
Tier one,WD,WD SSD Black SN770 1TB M.2 NVMe,WDS100T3X0E,"$60,77",15-05-2025
Tier one,WD,WD SSD Black SN770 2TB M.2 NVMe,WDS200T3X0E,"$105,73",35
Tier one,WD,WD SSD Black SN850X 1TB NVMe Heatsink,WDS100T2XHE,"$93,52",29
Tier one,WD,WD SSD Black SN850X 2TB NVMe,WDS200T2X0E,"$132,37",8
Tier one,WD,WD SSD Black SN850X 4TB NVMe,WDS400T2X0E,"$254,19",38
Tier one,WD,WD SSD Blue SA510 1TB M.2 Sata,WDS100T3B0B,"$60,50",27
Tier one,WD,WD SSD Blue SA510 2TB Sata-3,WDS200T3B0A,"$111,28",76
Tier one,WD,WD SSD Blue SA510 4TB Sata-3,WDS400T3B0A,"$214,79",4
Tier one,WD,WD SSD Blue SA510 4TB Sata-3,WDS400T3B0A,"$214,79",4
Tier one,WD,WD SSD Blue SN5000 1TB M.2 NVMe Gen 4.0,WDS100T4B0E,"$56,61",64
Tier one,WD,WD SSD Blue SN5000 2TB M.2 NVMe Gen 4.0,WDS200T4B0E,"$102,40",1
Tier one,WD,WD SSD Blue SN5000 4TB M.2 NVMe Gen 4.0,WDS400T4B0E,"$216,45",19
Tier one,WD,WD SSD Blue SN5000 4TB M.2 NVMe Gen 4.0,WDS400T4B0E,"$216,45",19
Tier one,WD,WD SSD Blue SN580 2TB M.2 NVMe,WDS200T3B0E,"$98,51",27
Tier one,WD,WD SSD Red SA500 1TB M.2,WDS100T1R0B,"$75,48",21
Tier one,WD,WD SSD Red SA500 1TB Sata-3,WDS100T1R0A,"$75,48",1
Tier one,WD,WD SSD Red SA500 500GB M.2,WDS500G1R0B,"$51,34",18
Tier one,WD,WD SSD Red SA500 500GB Sata-3,WDS500G1R0A,"$50,23",4
Tier one,WD,WD SSD Red SN700 1TB M.2 NVMe,WDS100T1R0C,"$77,98",9
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,
Tier one,,,,,